,prices,car_names,cv,fuel,trasmission,date,location,type_seller,km,calender,etat
739,Prix : 150 000 DT,BMW X6 3.5 XDRIVE,22 CV,Essence,Automatique,20 Mars 2019,Ariana Ville,professionnel,45000 Km,10-2009,Excellent
740,Prix : 140 000 DT,MERCEDES BENZ E200 CGI,10 CV,Essence,Automatique,20 Mars 2019,Ariana Ville,professionnel,55000 Km,01-2015,Excellent
741,Prix : 135 000 DT,VOLKSWAGEN TOUAREG 3.0 TDI,16 CV,Diesel,Automatique,20 Mars 2019,Ariana Ville,professionnel,114000 Km,07-2011,Excellent
742,Prix : 135 000 DT,VOLKSWAGEN TOUAREG 3.0 TDI,16 CV,Diesel,Automatique,20 Mars 2019,Ariana Ville,professionnel,114000 Km,07-2011,Excellent
743,Prix : 64 000 DT,Seat leon style 1.2 TSI,6 CV,Essence,Manuelle,19 Mars 2019,El Mourouj,particulier,44000 Km,09-2017,D'origine
744,Prix : 40 000 DT,Mercedes-Benz 2014,7 CV,Essence,Automatique,15 Mars 2019,Ariana Ville,particulier,128000 Km,09-2014,Excellent
745,Prix : 19 000 DT,Fiat GRANDI PUNTO,5 CV,Essence,Manuelle,15 Mars 2019,El Omrane Superieur,particulier,147000 Km,2010,Très bon
746,Prix : 40 000 DT,Mercedes-Benz CLA 2014,7 CV,Essence,Automatique,15 Mars 2019,Bou Argoub,particulier,12800 Km,01-2014,Excellent
747,Prix : 27 000 DT,"Fiat 500 1,2 Lounge - Boîte Automatique",4 CV,Essence,Automatique,15 Mars 2019,Les Berges Du Lac,particulier,113500 Km,07-2009,Excellent
748,Prix : 29 000 DT,CHERY E3 SEDAN,6 CV,Essence,Manuelle,8 Mars 2019,La Goulette,particulier,68000 Km,09-2016,D'origine
749,Prix : 33 500 DT,Ducia duster,5 CV,Diesel,Manuelle,3 Mars 2019,Tunis,particulier,83000 Km,2011,Très bon
750,Prix : 85 000 DT,Vente de voiture ford fusion,9 CV,Essence,Automatique,1 Mars 2019,Nabeul,particulier,30000 Km,11-2016,Excellent
751,Prix : 25 000 DT,Grande punto easy 54000 kilomètres,5 CV,Essence,Manuelle,1 Mars 2019,Ariana Ville,particulier,54000 Km,06-2014,Très bon
752,Prix : 34 500 DT,Très jolie caddy,5 CV,Diesel,Manuelle,24 Fèvr. 2019,Gafsa Sud,particulier,96000 Km,04-2014,D'origine
753,Prix : 18 000 DT,Voiture d'une femme,4 CV,Essence,Manuelle,22 Fèvr. 2019,Kairouan Nord,particulier,161 Km,06-2009,Très bon
754,Prix : 33 500 DT,GOLF 6 TDI BVA,6 CV,Diesel,Automatique,22 Fèvr. 2019,Tunis,particulier,159999 Km,11-2011,Excellent
755,Prix : 24 500 DT,Oprl Astra H,5 CV,Essence,Manuelle,22 Fèvr. 2019,El Ouerdia,particulier,200000 Km,11-2009,Très bon
756,Prix : 40 000 DT,Sea Leon TSI 1.2,5 CV,Essence,Manuelle,18 Fèvr. 2019,Ariana Ville,particulier,85000 Km,08-2013,Excellent
757,Prix : 67 000 DT,Mazda 3 sedan neuve,6 CV,Essence,Manuelle,17 Fèvr. 2019,Raoued,particulier,1237 Km,05-2018,Neuf
758,Prix : 61 000 DT,BMW F30,7 CV,Essence,Manuelle,17 Fèvr. 2019,El Kram,particulier,200000 Km,12-2014,Excellent
759,Prix : 23 000 DT,A vendre Renault Symbol,5 CV,Essence,Manuelle,17 Fèvr. 2019,Tunis,particulier,141 Km,2011,Bon
760,Prix : 19 500 DT,C4 en très bon état,6 CV,Essence,Manuelle,14 Fèvr. 2019,Tunis,particulier,141500 Km,07-2006,D'origine
761,Prix : 16 000 DT,Citroen C3,5 CV,Essence,Manuelle,14 Fèvr. 2019,Nouvelle Medina,particulier,264 Km,2004,Bon
762,Prix : 48 000 DT,Hyundai Elantra GLS,7 CV,Essence,Manuelle,14 Fèvr. 2019,Ariana Ville,particulier,67000 Km,12-2012,D'origine
763,Prix : 36 500 DT,MG3 Confort plus,5 CV,Essence,Manuelle,11 Fèvr. 2019,Nouvelle Medina,particulier,25500 Km,08-2017,D'origine
764,Prix : 26 000 DT,FORD KA,4 CV,Essence,Manuelle,11 Fèvr. 2019,La Marsa,particulier,80000 Km,04-2014,Très bon
765,Prix : 16 300 DT,POLO 6 NOIR,4 CV,Essence,Manuelle,11 Fèvr. 2019,El Mourouj,particulier,228 Km,06-2006,Très bon
766,Prix : 71 500 DT,Nissan qashqai modèle 2016,6 CV,Essence,Manuelle,11 Fèvr. 2019,Ariana Ville,particulier,97000 Km,03-2015,Excellent
767,Prix : 36 500 DT,Occasion unique à saisir,6 CV,Diesel,Manuelle,11 Fèvr. 2019,Ghar El Melh,particulier,202000 Km,11-2013,Très bon
768,Prix : 32 500 DT,GOLF 6 1.4 TSI,9 CV,Essence,Automatique,11 Fèvr. 2019,Mnihla,particulier,124000 Km,06-2010,Neuf
769,Prix : 16 800 DT,Avendre une belle polo 6,4 CV,Essence,Manuelle,11 Fèvr. 2019,La Medina,particulier,179000 Km,10-2007,Excellent
770,Prix : 43 500 DT,BAIC YX KENBO S2 1.5 L 112 CH,5 CV,Essence,Manuelle,2 Fèvr. 2019,La Marsa,particulier,18000 Km,07-2017,Excellent
771,Prix : 19 000 DT,Polo 6 très bon état,4 CV,Essence,Manuelle,2 Fèvr. 2019,Ariana Ville,particulier,167000 Km,01-2009,Excellent
772,Prix : 13 500 DT,Polo 4 touts options,4 CV,Essence,Manuelle,29 Janv. 2019,Sousse Riadh,particulier,245000 Km,11-2000,Très bon
773,Prix : 45 000 DT,A VENDRE SEAT LEON TSI,6 CV,Essence,Automatique,28 Janv. 2019,Tunis,particulier,137000 Km,08-2015,D'origine
774,Prix : 54 000 DT,Seat Leon Style 1ère main presque neuve,5 CV,Essence,Manuelle,28 Janv. 2019,El Mourouj,particulier,76 Km,11-2015,Excellent
775,Prix : 20 300 DT,Volkswagen polo 6,4 CV,Essence,Manuelle,28 Janv. 2019,Sfax Ville,particulier,150000 Km,01-2009,D'origine
776,Prix : 150 000 DT,BMW X6 3.5 XDRIVE,22 CV,Essence,Automatique,18 Janv. 2019,Ariana Ville,professionnel,45000 Km,11-2009,Excellent
777,Prix : 75 000 DT,MAZDA 6,9 CV,Essence,Automatique,18 Janv. 2019,Ariana Ville,professionnel,62000 Km,08-2015,Excellent
778,Prix : 140 000 DT,MERCEDES E200 CGI,10 CV,Essence,Automatique,18 Janv. 2019,Ariana Ville,professionnel,55000 Km,01-2015,Excellent
779,Prix : 90 000 DT,BMW 316 I KIT M,7 CV,Essence,Automatique,18 Janv. 2019,Ariana Ville,professionnel,80000 Km,10-2015,Excellent
780,Prix : 34 000 DT,Dame vend Ford Fiesta,5 CV,Essence,Manuelle,18 Janv. 2019,Tunis,particulier,88000 Km,06-2015,Excellent
781,Prix : 35 000 DT,SCIROCCO 1.4 TSI,9 CV,Essence,Automatique,16 Janv. 2019,La Soukra,particulier,117000 Km,12-2010,Excellent
782,Prix : 26 500 DT,ISUZU OPEL FRONTERA 4X4,9 CV,Diesel,Manuelle,11 Janv. 2019,Akouda,particulier,188000 Km,11-2003,D'origine
783,Prix : 19 600 DT,Symbol 2010,5 CV,Essence,Manuelle,10 Janv. 2019,Tunis,particulier,199 Km,05-2010,Très bon
784,Prix : 15 000 DT,Deawoo Nubira CDX 1.7,7 CV,Essence,Manuelle,7 Janv. 2019,Tunis,particulier,107000 Km,01-2001,Très bon
785,Prix : 39 000 DT,Renault Fluence,7 CV,Essence,Automatique,31 Déc. 2018,Carthage,particulier,130000 Km,09-2013,Excellent
786,Prix : 22 000 DT,KIA RIO,5 CV,Essence,Manuelle,26 Déc. 2018,Hammam Chatt,particulier,159000 Km,04-2012,En marche
787,Prix : 42 DT,GOLF 6 KIT GTI,5 CV,Essence,Automatique,26 Déc. 2018,Le Bardo,particulier,70 Km,2013,Très bon
788,Prix : 44 500 DT,A vendre ssangyong korando,10 CV,Diesel,Manuelle,26 Déc. 2018,Sfax Ville,particulier,210000 Km,09-2011,Excellent
789,Prix : 120 000 DT,CLA180,7 CV,Essence,Automatique,20 Déc. 2018,Carthage,particulier,70000 Km,12-2015,Excellent
790,Prix : 29 800 DT,Chevrolet Cruze GPL+Essence,7 CV,Essence,Manuelle,20 Déc. 2018,Mahdia,particulier,156000 Km,07-2014,Excellent
791,Prix : 89 000 DT,Série 1 sport Line 118i,7 CV,Essence,Automatique,18 Déc. 2018,Les Berges Du Lac,particulier,45000 Km,12-2015,Excellent
792,Prix : 28 500 DT,Scirocco,9 CV,Essence,Automatique,17 Déc. 2018,Ariana Ville,particulier,154000 Km,2011,Excellent
793,Prix : 48 000 DT,SuZuki Baleno,5 CV,Essence,Automatique,17 Déc. 2018,La Marsa,particulier,30000 Km,08-2017,Excellent
794,Prix : 26 000 DT,A vendre Fiat punto pop en excellente etat 1ere main,4 CV,Essence,Manuelle,14 Déc. 2018,Mannouba,particulier,56000 Km,10-2014,Excellent
795,Prix : 24 500 DT,Audi A3 Sline,6 CV,Diesel,Manuelle,14 Déc. 2018,Ben Arous,particulier,294 Km,01-2005,Bon
796,Prix : 21 000 DT,Je vends la voiture de ma femme qui est en très bon état.,5 CV,Essence,Manuelle,14 Déc. 2018,Ras Jebel,particulier,180000 Km,05-2013,Très bon
797,Prix : 26 600 DT,Polo 7 1.4 essence 5 cv 4 cylindre,5 CV,Essence,Manuelle,10 Déc. 2018,Ben Arous,particulier,137000 Km,2012,Excellent
798,Prix : 25 000 DT,Vente ford focus berline,6 CV,Essence,Manuelle,30 Nov. 2018,Les Berges Du Lac,particulier,97000 Km,03-2010,Excellent
799,Prix : 21 000 DT,Citroen C3,5 CV,Essence,Manuelle,28 Nov. 2018,Sousse Ville,particulier,115000 Km,11-2010,Bon
