,prices,car_names,cv,fuel,trasmission,date,location,type_seller,km,calender,etat
0,Prix : 32 000 DT,2015 Volkswagen Polo Sedan,5 CV,Essence,Manuelle,Hier 0:20,Ezzahra,professionnel,91000 Km,07-2015,Excellent
1,Prix : 140 000 DT,2012 Jaguar XF BVA,11 CV,Diesel,Automatique,Hier 0:20,Ezzahra,professionnel,148000 Km,10-2012,Excellent
2,Prix : 22 500 DT,2001 Audi TT,11 CV,Essence,Manuelle,Hier 0:20,Ezzahra,professionnel,1000 Km,02-2001,Excellent
3,Prix : 50 000 DT,2008 Mercedes C180 BVA Kit AMG Toit ouvrant,9 CV,Essence,Automatique,Hier 0:20,Ezzahra,professionnel,192000 Km,09-2008,Excellent
4,Prix : 30 000 DT,2005 Volkswagen Passat TDI BVA,8 CV,Diesel,Automatique,Hier 0:20,Ezzahra,professionnel,372000 Km,12-2005,Excellent
5,Prix : 38 500 DT,2017 Citroën C3 1ére main,4 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,75000 Km,12-2017,Excellent
6,Prix : 34 900 DT,2012 Citroën C5 Ehdi,6 CV,Diesel,Manuelle,26 Mars 2021,Ezzahra,professionnel,193000 Km,01-2012,Excellent
7,Prix : 38 900 DT,2008 BMW 316i E90 Toit ouvrant,7 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,171000 Km,04-2008,Excellent
8,Prix : 29 900 DT,2016 Hyundai Grand i10 BVA High Grade,5 CV,Essence,Manuelle,26 Mars 2021,Ariana Ville,professionnel,123000 Km,06-2016,Excellent
9,Prix : 49 500 DT,2014 Kia cerato bva Toit ouvrant camera de recule,8 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,98000 Km,04-2014,Excellent
10,Prix : 44 000 DT,2010 Volkswagen Tiguan TDI BVA 1ère main,9 CV,Diesel,Automatique,26 Mars 2021,Ezzahra,professionnel,179000 Km,07-2010,Excellent
11,Prix : 99 000 DT,2021 Haval H6 0Km,9 CV,Essence,Automatique,26 Mars 2021,Ezzahra,professionnel,3000 Km,02-2021,Excellent
12,Prix : 43 000 DT,2016 Toyota Yaris Sedan 1ére main,5 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,31000 Km,10-2016,Excellent
13,Prix : 39 000 DT,2016 Fiat 500 BVA Toit pano,4 CV,Essence,Automatique,26 Mars 2021,Ezzahra,professionnel,85000 Km,05-2016,Excellent
14,Prix : 52 500 DT,2014 Mazda 6 BVA TOIT OUVRANT,9 CV,Essence,Automatique,26 Mars 2021,Ariana Ville,professionnel,158000 Km,02-2014,Excellent
15,Prix : 42 900 DT,2018 Citroën C3 1ére main,4 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,73000 Km,11-2018,Excellent
16,Prix : 51 000 DT,Golf 7 TSI Bluemotion - BLEU - Toit Ouvrant,5 CV,Essence,Manuelle,26 Mars 2021,Tunis,particulier,121000 Km,2012,Excellent
17,Prix : 34 000 DT,Audi a3 sline 1.6 essence,6 CV,Essence,Manuelle,26 Mars 2021,Nabeul,particulier,245000 Km,06-2010,Très bon
18,Prix : 50 000 DT,2010 BMW X1 BVA,9 CV,Essence,Automatique,26 Mars 2021,Ezzahra,professionnel,141000 Km,08-2010,Excellent
19,Prix : 32 500 DT,2017 Hyundai Grand i10,5 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,72000 Km,11-2017,Excellent
20,Prix : 58 000 DT,2012 BMW 116i F20 Toit ouvrant,7 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,146000 Km,07-2012,Excellent
21,Prix : 21 000 DT,2008 Renault Megane Sedan,7 CV,Essence,Manuelle,26 Mars 2021,Ezzahra,professionnel,162000 Km,08-2008,Excellent
22,Prix : 60 000 DT,Captur toute neuve et toutes options,5 CV,Essence,Manuelle,26 Mars 2021,La Marsa,particulier,29500 Km,06-2019,Neuf
23,Prix : 45 000 DT,C3 PURETECH,4 CV,Essence,Manuelle,26 Mars 2021,La Soukra,particulier,128000 Km,03-2017,Excellent
24,Prix : 40 500 DT,2013 Mini Cooper,4 CV,Essence,Manuelle,25 Mars 2021,Ariana Ville,professionnel,127000 Km,01-2013,Excellent
25,Prix : 69 900 DT,2017 Mazda BT-50 1ère Main,9 CV,Diesel,Manuelle,25 Mars 2021,Ariana Ville,professionnel,129000 Km,06-2017,Excellent
26,Prix : 23 500 DT,2012 Chevrolet Spark,5 CV,Essence,Manuelle,24 Mars 2021,Ezzahra,professionnel,118000 Km,05-2012,Excellent
27,Prix : 68 000 DT,2012 Mercedes A180 BVM Toit pano,7 CV,Essence,Manuelle,24 Mars 2021,Ezzahra,professionnel,187000 Km,12-2012,Excellent
28,Prix : 17 900 DT,2004 Renault Megane,6 CV,Essence,Manuelle,24 Mars 2021,Ezzahra,professionnel,188000 Km,04-2004,Excellent
29,Prix : 260 000 DT,2018 Audi A5 S-line BVA Quattro Toit Pano 1ère main ( Unique en tunisie ),15 CV,Essence,Automatique,24 Mars 2021,Ezzahra,professionnel,45000 Km,10-2018,Excellent
30,Prix : 32 900 DT,2015 Renault Twingo Toit Ouvrant,4 CV,Essence,Manuelle,24 Mars 2021,Ezzahra,professionnel,34000 Km,03-2015,Excellent
31,Prix : 79 900 DT,2016 Kia Sportage BVA Toit Pano 1ère Main,8 CV,Essence,Automatique,23 Mars 2021,Ariana Ville,professionnel,133000 Km,11-2016,Excellent
32,Prix : 45 000 DT,2013 Ssangyong Actyon BVA,7 CV,Diesel,Automatique,23 Mars 2021,Ezzahra,professionnel,119000 Km,06-2013,Excellent
33,Prix : 125 000 DT,BMW Serie 5 (520i),11 CV,Essence,Automatique,23 Mars 2021,La Marsa,professionnel,50000 Km,12-2017,Très bon
34,Prix : 150 000 DT,Jeep Cherokee 2.2L Multi jet S&S 200 chef Active Drive I BVA Limited (11 CV),11 CV,Essence,Automatique,23 Mars 2021,La Marsa,professionnel,50000 Km,12-2018,Très bon
35,Prix : 26 500 DT,Fiorino,5 CV,Diesel,Manuelle,23 Mars 2021,Sfax Ville,particulier,105 Km,08-2017,D'origine
36,Prix : 14 000 DT,Scenic 2,5 CV,Diesel,Manuelle,23 Mars 2021,Ain Zaghouan,particulier,380000 Km,10-2004,Assez bon
37,Prix : 163 000 DT,Land Rover Defender,8 CV,Diesel,Manuelle,23 Mars 2021,La Marsa,professionnel,150000 Km,12-2012,Très bon
38,Prix : 65 000 DT,2016 Citroën DS5 BVA,9 CV,Essence,Automatique,23 Mars 2021,Ezzahra,professionnel,74000 Km,12-2016,Excellent
39,Prix : 48 500 DT,2016 Citroën Berlingo 5places,7 CV,Essence,Manuelle,23 Mars 2021,Ezzahra,professionnel,74000 Km,07-2016,Excellent
40,Prix : 39 500 DT,2008 Mercedes C180 BVM Toit ouvrant,9 CV,Essence,Manuelle,23 Mars 2021,Ezzahra,professionnel,255000 Km,12-2008,Excellent
41,Prix : 59 500 DT,2015 Volkswagen Golf 7 Cup SW TDI Toit Pano,5 CV,Diesel,Manuelle,23 Mars 2021,Ezzahra,professionnel,110000 Km,05-2015,Excellent
42,Prix : 40 000 DT,2009 BMW 316i BVM E90,7 CV,Essence,Manuelle,23 Mars 2021,Ezzahra,professionnel,166000 Km,04-2009,Excellent
43,Prix : 22 500 DT,2009 Renault Megane Sedan,6 CV,Essence,Manuelle,23 Mars 2021,Ezzahra,professionnel,157000 Km,04-2009,Excellent
44,Prix : 21 000 DT,2000 Mercedes C200 cdi BVA toit ouvrant,7 CV,Diesel,Automatique,22 Mars 2021,Ezzahra,professionnel,1000 Km,12-2000,Excellent
45,Prix : 59 500 DT,2014 Volkswagen Passat TDI Highline toit ouvrant,5 CV,Diesel,Manuelle,22 Mars 2021,Ezzahra,professionnel,152000 Km,06-2014,Excellent
46,Prix : 39 900 DT,2017 Toyota Yaris Sedan 1ere Main,5 CV,Essence,Manuelle,22 Mars 2021,Ariana Ville,professionnel,39000 Km,05-2017,Excellent
47,Prix : 42 900 DT,2012 Mercedes B180 BVM toit pano,7 CV,Essence,Manuelle,22 Mars 2021,Ariana Ville,professionnel,81000 Km,07-2012,Excellent
48,Prix : 52 900 DT,2014 Volkswagen Golf 7 TDI Highline BVM,4 CV,Diesel,Manuelle,22 Mars 2021,Ariana Ville,professionnel,170000 Km,04-2014,Excellent
49,Prix : 52 900 DT,2010 BMW 316i E90 N45 Toit Ouvrant BVA,7 CV,Essence,Automatique,22 Mars 2021,Ariana Ville,professionnel,83000 Km,11-2010,En panne
50,Prix : 39 900 DT,2017 Fiat 500 Toit pano 1ère main,4 CV,Essence,Manuelle,22 Mars 2021,Ariana Ville,professionnel,39000 Km,05-2017,Excellent
51,Prix : 36 900 DT,2010 Audi A3 TDI,5 CV,Diesel,Manuelle,22 Mars 2021,Ezzahra,professionnel,220000 Km,04-2010,Excellent
52,Prix : 32 000 DT,2003 Mercedes E220 CDI BVA,9 CV,Diesel,Automatique,22 Mars 2021,Ezzahra,professionnel,343000 Km,06-2003,Excellent
53,Prix : 44 000 DT,2014 Kia Optima BVA,10 CV,Essence,Automatique,22 Mars 2021,Ezzahra,professionnel,156000 Km,06-2014,Excellent
54,Prix : 36 500 DT,2015 Ford Focus Ecoboost 1ère main,6 CV,Essence,Manuelle,21 Mars 2021,Ezzahra,professionnel,117000 Km,07-2015,Excellent
55,Prix : 28 900 DT,2017 Fiat Grande punto Easy,4 CV,Essence,Manuelle,21 Mars 2021,Ezzahra,professionnel,85000 Km,12-2017,Excellent
56,Prix : 64 000 DT,2011 Mercedes C180 Coupe BVA,9 CV,Essence,Automatique,21 Mars 2021,Ezzahra,professionnel,161000 Km,07-2011,Excellent
57,Prix : 27 900 DT,2017 Tata Xenon SC,7 CV,Diesel,Manuelle,20 Mars 2021,Ezzahra,professionnel,106000 Km,11-2017,Excellent
58,Prix : 45 000 DT,2008 BMW 316i E92 Toit ouvrant,7 CV,Essence,Manuelle,20 Mars 2021,Ezzahra,professionnel,238000 Km,01-2008,Excellent
59,Prix : 63 000 DT,HAVAL H2,9 CV,Essence,Automatique,19 Mars 2021,Megrine,particulier,96500 Km,2017,Très bon
60,Prix : 66 000 DT,2017 Ssangyong XLV,7 CV,Essence,Manuelle,18 Mars 2021,Ezzahra,professionnel,64000 Km,10-2017,Excellent
61,Prix : 31 900 DT,2013 Citroen DS3,5 CV,Essence,Manuelle,18 Mars 2021,Ariana Ville,professionnel,184000 Km,08-2013,Excellent
62,Prix : 75 000 DT,2016 BMW 116i F20 BVM,6 CV,Essence,Manuelle,18 Mars 2021,Ezzahra,professionnel,185000 Km,05-2016,Excellent
63,Prix : 44 000 DT,508 Noire NG,7 CV,Essence,Automatique,18 Mars 2021,Mnihla,particulier,145000 Km,07-2014,Très bon
64,Prix : 14 000 DT,Hyundai accent 2,7 CV,Diesel,Manuelle,18 Mars 2021,Ben Arous,particulier,643401 Km,2002,Excellent
65,Prix : 38 000 DT,2020 Fiat Doblo 1ère main,5 CV,Diesel,Manuelle,18 Mars 2021,Ezzahra,professionnel,29000 Km,06-2020,Excellent
66,Prix : 28 900 DT,2012 Citroën Berlingo 5places,6 CV,Essence,Manuelle,18 Mars 2021,Ezzahra,professionnel,148000 Km,09-2012,Excellent
67,Prix : 19 000 DT,2009 Citroën Berlingo,6 CV,Diesel,Manuelle,18 Mars 2021,Ezzahra,professionnel,180000 Km,12-2009,Excellent
68,Prix : 49 900 DT,2007 BMW X5 BVA 7 Places,19 CV,Essence,Automatique,17 Mars 2021,Ezzahra,professionnel,295000 Km,08-2007,Excellent
69,Prix : 69 900 DT,2010 Mercedes E200 KIT AMG TOIT PANO,11 CV,Essence,Manuelle,17 Mars 2021,Ariana Ville,professionnel,183000 Km,03-2010,Excellent
70,Prix : 38 000 DT,2009 Volkswagen Passat CC,12 CV,Essence,Manuelle,17 Mars 2021,Ezzahra,professionnel,244000 Km,07-2009,Excellent
71,Prix : 50 000 DT,Seat Leon SC en tres bon etat,6 CV,Essence,Manuelle,17 Mars 2021,El Mourouj,particulier,85000 Km,05-2016,Excellent
72,Prix : 46 000 DT,2011 Volkswagen Passat TDI,5 CV,Diesel,Manuelle,17 Mars 2021,Ezzahra,professionnel,194000 Km,03-2011,Excellent
73,Prix : 39 900 DT,2015 Seat Leon 1ere Main,6 CV,Essence,Manuelle,17 Mars 2021,Ariana Ville,professionnel,146000 Km,12-2015,Excellent
74,Prix : 19 500 DT,2011 Chevrolet Spark,4 CV,Essence,Manuelle,17 Mars 2021,Ezzahra,professionnel,55000 Km,03-2011,Excellent
75,Prix : 32 000 DT,2012 Peugeot 508,9 CV,Essence,Manuelle,17 Mars 2021,Ezzahra,professionnel,125000 Km,04-2012,Excellent
76,Prix : 29 000 DT,Vente voiture en bon etat,6 CV,Diesel,Manuelle,16 Mars 2021,Nabeul,particulier,309000 Km,08-2006,Bon
77,Prix : 64 000 DT,2018 Seat Leon Style Plus Toit pano,6 CV,Essence,Manuelle,16 Mars 2021,Ezzahra,professionnel,80000 Km,01-2018,Excellent
78,Prix : 23 900 DT,2011 Fiat Grande Punto 1ère main,5 CV,Essence,Manuelle,16 Mars 2021,Ezzahra,professionnel,136000 Km,06-2011,Excellent
79,Prix : 41 500 DT,2019 Renault Clio 4 Lifeplus,5 CV,Essence,Manuelle,15 Mars 2021,Ezzahra,professionnel,26000 Km,02-2019,Excellent
80,Prix : 25 500 DT,2012 Chevrolet Cruze,7 CV,Essence,Manuelle,15 Mars 2021,Ezzahra,professionnel,135000 Km,11-2012,Excellent
81,Prix : 73 000 DT,2012 Mercedes E200 BVA,11 CV,Essence,Automatique,15 Mars 2021,Ezzahra,professionnel,243000 Km,02-2012,Excellent
82,Prix : 105 000 DT,2009 BMW X6 BVA 30d,15 CV,Diesel,Automatique,15 Mars 2021,Ezzahra,professionnel,146000 Km,07-2009,Excellent
83,Prix : 22 000 DT,2006 Peugeot 407,9 CV,Essence,Manuelle,15 Mars 2021,Ezzahra,professionnel,252000 Km,06-2006,Excellent
84,Prix : 38 000 DT,2018 Toyota Yaris,4 CV,Essence,Manuelle,15 Mars 2021,Ezzahra,professionnel,40000 Km,08-2018,Excellent
85,Prix : 62 000 DT,2017 Mazda 3 Skyactiv,6 CV,Essence,Manuelle,15 Mars 2021,Ezzahra,professionnel,90000 Km,10-2017,Excellent
86,Prix : 53 000 DT,2015 Volkswagen Passat,7 CV,Essence,Manuelle,15 Mars 2021,Ezzahra,professionnel,107000 Km,02-2015,Excellent
87,Prix : 66 000 DT,2016 Volkswagen Passat,7 CV,Essence,Manuelle,15 Mars 2021,Ezzahra,professionnel,93000 Km,12-2016,Excellent
88,Prix : 34 900 DT,2015 Ford Fiesta Titanium 1ère main,5 CV,Essence,Manuelle,14 Mars 2021,Ezzahra,professionnel,86000 Km,10-2015,Excellent
89,Prix : 98 000 DT,2007 Land Rover Range Rover Sport HSE BVA,13 CV,Diesel,Automatique,14 Mars 2021,Ezzahra,professionnel,241000 Km,01-2007,Excellent
90,Prix : 42 000 DT,2012 Volkswagen Golf 6 Style 1.4L,5 CV,Essence,Manuelle,14 Mars 2021,Ezzahra,professionnel,111000 Km,01-2012,Excellent
91,Prix : 31 000 DT,2016 Dacia Logan MCV 1ère main,5 CV,Essence,Manuelle,14 Mars 2021,Ezzahra,professionnel,116000 Km,09-2016,Excellent
92,Prix : 179 000 DT,2019 Audi A5 Sportback S-line BVA 1ère main,7 CV,Essence,Automatique,14 Mars 2021,Ezzahra,professionnel,38000 Km,04-2019,Excellent
93,Prix : 159 000 DT,2019 BMW 418i Grand Coupe BVA toit ouvrant 1ère main,7 CV,Essence,Automatique,14 Mars 2021,Ezzahra,professionnel,18000 Km,11-2019,Excellent
94,Prix : 29 500 DT,2011 Ssangyong Kyron,9 CV,Diesel,Manuelle,14 Mars 2021,Ezzahra,professionnel,361000 Km,06-2011,Excellent
95,Prix : 22 900 DT,2016 Chery QQ,4 CV,Essence,Manuelle,13 Mars 2021,Ezzahra,professionnel,27000 Km,12-2016,Excellent
96,Prix : 73 000 DT,2012 BMW 116i F20 BVA Toit ouvrant,7 CV,Essence,Automatique,13 Mars 2021,Ezzahra,professionnel,138000 Km,02-2012,Excellent
97,Prix : 28 900 DT,2012 Citroen Jumpy,7 CV,Diesel,Manuelle,13 Mars 2021,Ezzahra,professionnel,184000 Km,10-2012,Excellent
98,Prix : 26 900 DT,2015 Citroen C elysee Exclusive,5 CV,Essence,Manuelle,13 Mars 2021,Ezzahra,professionnel,95000 Km,12-2015,Excellent
99,Prix : 36 500 DT,2009 BMW 316i E90,7 CV,Essence,Manuelle,13 Mars 2021,Ezzahra,professionnel,203000 Km,07-2009,Excellent
100,Prix : 41 500 DT,2016 Citroën DS3,5 CV,Essence,Manuelle,13 Mars 2021,Ezzahra,professionnel,58000 Km,12-2016,Excellent
101,Prix : 19 500 DT,2001 Volkswagen Golf 4 BVA 2portes,7 CV,Essence,Automatique,13 Mars 2021,Ezzahra,professionnel,203000 Km,02-2001,Excellent
102,Prix : 23 800 DT,Bonne occasion,5 CV,Essence,Manuelle,12 Mars 2021,Rades,particulier,166000 Km,09-2007,Excellent
103,Prix : 32 500 DT,2003 Mercedes E220CDI BVA Toit pano,9 CV,Diesel,Automatique,12 Mars 2021,Ezzahra,professionnel,180000 Km,04-2003,Excellent
104,Prix : 41 900 DT,2017 Skoda Fabia toit pano 1ère main,4 CV,Essence,Manuelle,12 Mars 2021,Ezzahra,professionnel,93000 Km,12-2017,Excellent
105,Prix : 49 500 DT,2013 Volkswagen Golf 7 Confortline TDI,5 CV,Diesel,Manuelle,12 Mars 2021,Ezzahra,professionnel,192000 Km,09-2013,Excellent
106,Prix : 30 900 DT,2017 Citroën C-elysée 1ére main,5 CV,Essence,Manuelle,12 Mars 2021,Ezzahra,professionnel,80000 Km,12-2017,Excellent
107,Prix : 18 500 DT,2008 Peugeot 206 Sedan,6 CV,Essence,Manuelle,11 Mars 2021,Ezzahra,professionnel,146000 Km,05-2008,Excellent
108,Prix : 42 500 DT,2020 Volkswagen UP 1ère main,4 CV,Essence,Manuelle,11 Mars 2021,Ezzahra,professionnel,2000 Km,09-2020,Excellent
109,Prix : 54 000 DT,2011 Volkswagen Amarok,8 CV,Diesel,Manuelle,10 Mars 2021,Ezzahra,professionnel,181000 Km,04-2011,Excellent
110,Prix : 69 000 DT,2017 Volkswagen Golf 7 Highline BVA,6 CV,Essence,Automatique,10 Mars 2021,Ezzahra,professionnel,63000 Km,04-2017,Excellent
111,Prix : 41 500 DT,Golf 6 1.2 TSI Essence Montage Allemand tt options .,5 CV,Essence,Manuelle,9 Mars 2021,Tunis,particulier,166 Km,08-2011,Excellent
112,Prix : 39 000 DT,2007 Mini Cooper Sidewalk Cabriolet,6 CV,Essence,Manuelle,8 Mars 2021,Ezzahra,professionnel,153000 Km,07-2007,Excellent
113,Prix : 94 000 DT,2019 Haval H6 BVA toit pano 1ère main,9 CV,Essence,Automatique,8 Mars 2021,Ezzahra,professionnel,10000 Km,04-2019,Excellent
114,Prix : 43 000 DT,2007 Mercedes E200 CDI BVA 1ère main,8 CV,Diesel,Automatique,8 Mars 2021,Ezzahra,professionnel,373000 Km,06-2007,Excellent
115,Prix : 48 900 DT,2016 Peugeot 2008 Toit pano,5 CV,Essence,Manuelle,8 Mars 2021,Ezzahra,professionnel,78000 Km,10-2016,Excellent
116,Prix : 75 000 DT,Toyota Prado,11 CV,Diesel,Manuelle,8 Mars 2021,Ariana Ville,particulier,663000 Km,03-2006,Excellent
117,Prix : 52 000 DT,Golf 7 modéle 2016,5 CV,Essence,Manuelle,7 Mars 2021,Mannouba,particulier,130000 Km,11-2015,D'origine
118,Prix : 92 000 DT,2017 Haval H9 7places BVA toit ouvrant 1ère main,15 CV,Essence,Automatique,7 Mars 2021,Ezzahra,professionnel,135000 Km,04-2017,Excellent
119,Prix : 27 500 DT,2017 Chery E3,6 CV,Essence,Manuelle,6 Mars 2021,Ezzahra,professionnel,72000 Km,07-2017,Excellent
120,Prix : 39 900 DT,2011 Audi A1 BVM5,5 CV,Essence,Manuelle,6 Mars 2021,Ariana Ville,professionnel,93000 Km,02-2011,Excellent
121,Prix : 48 000 DT,2018 Isuzu Dmax,8 CV,Diesel,Manuelle,6 Mars 2021,Ezzahra,professionnel,94000 Km,07-2018,Excellent
122,Prix : 49 000 DT,2013 BMW 116d BVM F20,6 CV,Diesel,Manuelle,6 Mars 2021,Ezzahra,professionnel,218000 Km,08-2013,Excellent
123,Prix : 52 000 DT,2017 Citroën C3 Shine Toit pano 1ère main,4 CV,Essence,Manuelle,6 Mars 2021,Ezzahra,professionnel,15000 Km,07-2017,Excellent
124,Prix : 95 000 DT,2010 Audi Q5 TDI BVA toit pano,15 CV,Diesel,Automatique,6 Mars 2021,Ezzahra,professionnel,244000 Km,12-2010,Excellent
125,Prix : 34 000 DT,2007 BMW 316i E90,7 CV,Essence,Manuelle,5 Mars 2021,Ezzahra,professionnel,188000 Km,05-2007,Excellent
126,Prix : 36 000 DT,2007 BMW 116i Coupe,7 CV,Essence,Manuelle,5 Mars 2021,Ezzahra,professionnel,205000 Km,10-2008,Excellent
127,Prix : 23 500 DT,2010 Renault Megane dci,5 CV,Diesel,Manuelle,5 Mars 2021,Ezzahra,professionnel,134000 Km,02-2010,Excellent
128,Prix : 68 000 DT,2015 Hyundai IX35 BVA Toit panoramique 4WD,10 CV,Diesel,Automatique,5 Mars 2021,Ezzahra,professionnel,167000 Km,09-2015,Excellent
129,Prix : 129 500 DT,2016 Mercedes GLA200 AMG Toit Pano,7 CV,Essence,Manuelle,4 Mars 2021,Ariana Ville,professionnel,56000 Km,09-2016,Excellent
130,Prix : 27 500 DT,2013 Lancia Ypsilon,4 CV,Essence,Manuelle,4 Mars 2021,Ezzahra,professionnel,119000 Km,12-2013,Excellent
131,Prix : 40 000 DT,2009 BMW 116i Toit ouvrant,7 CV,Essence,Manuelle,4 Mars 2021,Ezzahra,professionnel,150000 Km,01-2009,Excellent
132,Prix : 58 000 DT,2014 Audi A3,5 CV,Essence,Manuelle,4 Mars 2021,Ezzahra,professionnel,150000 Km,04-2014,Excellent
133,Prix : 25 500 DT,2011 Seat Exeo 1ere Main,7 CV,Essence,Manuelle,4 Mars 2021,Ariana Ville,professionnel,188000 Km,03-2011,Excellent
134,Prix : 31 500 DT,2016 Seat Ibiza,4 CV,Essence,Manuelle,4 Mars 2021,Ezzahra,professionnel,86000 Km,05-2016,Excellent
135,Prix : 29 000 DT,2016 Citroën Berlingo B9,5 CV,Diesel,Manuelle,4 Mars 2021,Ezzahra,professionnel,109000 Km,05-2016,Excellent
136,Prix : 64 500 DT,2018 Ssangyong Tivoli,8 CV,Essence,Manuelle,3 Mars 2021,Ezzahra,professionnel,32000 Km,07-2018,Excellent
137,Prix : 37 500 DT,Audi A3 Sportback 1.6 TDI,5 CV,Diesel,Manuelle,3 Mars 2021,Tunis,particulier,259000 Km,04-2010,Très bon
138,Prix : 130 000 DT,2017 Kia Sportage GT-Line AWD BVA toit pano,11 CV,Diesel,Automatique,3 Mars 2021,Ezzahra,professionnel,36000 Km,09-2017,Excellent
139,Prix : 61 500 DT,2017 Haval H5,9 CV,Diesel,Manuelle,1 Mars 2021,Ezzahra,professionnel,79000 Km,03-2017,Excellent
140,Prix : 19 000 DT,OPEL ASTRA G 1.2,5 CV,Essence,Manuelle,1 Mars 2021,Grombalia,particulier,197000 Km,07-2003,Très bon
141,Prix : 128 000 DT,Audi Q2 Importé d'Allemagne Douane Payé,6 CV,Diesel,Manuelle,28 Fèvr. 2021,Tunis,particulier,7 Km,10-2017,Neuf
142,Prix : 54 000 DT,2006 Mercedes ML 320 CDI BVA,15 CV,Diesel,Automatique,28 Fèvr. 2021,Ariana Ville,professionnel,171000 Km,12-2006,Excellent
143,Prix : 52 000 DT,2009 Toyota Land Cruiser Prado VX,11 CV,Diesel,Manuelle,27 Fèvr. 2021,Ezzahra,professionnel,458000 Km,03-2009,Excellent
144,Prix : 44 000 DT,2018 Mazda 2 1ère main,6 CV,Essence,Manuelle,27 Fèvr. 2021,Ezzahra,professionnel,61000 Km,03-2018,Excellent
145,Prix : 39 000 DT,2011 Audi A4,7 CV,Essence,Manuelle,27 Fèvr. 2021,Ezzahra,professionnel,156000 Km,12-2011,Excellent
146,Prix : 27 000 DT,Kia Rio 5P,5 CV,Essence,Manuelle,26 Fèvr. 2021,El Mourouj,particulier,270000 Km,02-2013,Très bon
147,Prix : 21 000 DT,1997 Mercedes C250 Diesel BVA,10 CV,Diesel,Automatique,26 Fèvr. 2021,Ezzahra,professionnel,1000 Km,01-1997,Excellent
148,Prix : 23 000 DT,2007 Ssangyong Actyon,7 CV,Diesel,Manuelle,26 Fèvr. 2021,Ezzahra,professionnel,358000 Km,12-2007,Excellent
149,Prix : 25 000 DT,Pajero a ne pas rater,11 CV,Diesel,Manuelle,26 Fèvr. 2021,Mannouba,particulier,441000 Km,03-1999,Bon
150,Prix : 42 000 DT,Fiat 500 excellent état,4 CV,Essence,Manuelle,25 Fèvr. 2021,Bizerte Nord,particulier,11441 Km,09-2018,Excellent
151,Prix : 39 500 DT,2008 Mercedes CLC220 CDI BVA toit pano,10 CV,Diesel,Automatique,25 Fèvr. 2021,Ezzahra,professionnel,229000 Km,07-2008,Excellent
152,Prix : 115 000 DT,2015 Mercedes C200d BVA (camera 360),7 CV,Diesel,Automatique,25 Fèvr. 2021,Ezzahra,professionnel,112000 Km,07-2015,Excellent
153,Prix : 54 900 DT,2009 Mercedes C180 Kit AMG toit ouvrant BVA,9 CV,Essence,Automatique,25 Fèvr. 2021,Ariana Ville,professionnel,220000 Km,11-2009,Excellent
154,Prix : 20 000 DT,2001 Mercedes C200 Kompressor BVA,11 CV,Essence,Automatique,24 Fèvr. 2021,Ezzahra,professionnel,357000 Km,03-2001,Excellent
155,Prix : 89 000 DT,2012 Audi A5 Sportback BVA toit ouvrant,9 CV,Essence,Automatique,24 Fèvr. 2021,Ezzahra,professionnel,184000 Km,12-2012,Excellent
156,Prix : 22 000 DT,FORD FOCUS GHIA,6 CV,Essence,Manuelle,23 Fèvr. 2021,El Menzah,particulier,248 Km,06-2006,Bon
157,Prix : 82 000 DT,2018 Mazda BT-50 1ère main,9 CV,Diesel,Manuelle,23 Fèvr. 2021,Ezzahra,professionnel,92000 Km,04-2018,Excellent
158,Prix : 75 000 DT,2007 Mercedes GL320CDI BVA 7places toit ouvrant,15 CV,Diesel,Automatique,23 Fèvr. 2021,Ezzahra,professionnel,392000 Km,12-2007,Excellent
159,Prix : 68 000 DT,2010 Mercedes E200 BVA toit ouvrant,11 CV,Essence,Automatique,23 Fèvr. 2021,Ezzahra,professionnel,255000 Km,05-2010,Excellent
160,Prix : 115 000 DT,2013 BMW 520i BVA Kit M toit ouvrant 1ère main,10 CV,Essence,Automatique,23 Fèvr. 2021,Ezzahra,professionnel,143000 Km,04-2013,Excellent
161,Prix : 55 000 DT,2015 Citroën C4 Picasso Exclusive+,6 CV,Diesel,Manuelle,23 Fèvr. 2021,Ezzahra,professionnel,42000 Km,11-2015,Excellent
162,Prix : 25 900 DT,2013 Nissan Micra 1ère main,5 CV,Essence,Manuelle,22 Fèvr. 2021,Ezzahra,professionnel,119000 Km,06-2013,Excellent
163,Prix : 27 500 DT,2012 Ford Focus 1ère main,6 CV,Essence,Manuelle,22 Fèvr. 2021,Ezzahra,professionnel,222000 Km,03-2012,Excellent
164,Prix : 29 000 DT,Kia Rio 5P,5 CV,Essence,Manuelle,22 Fèvr. 2021,El Mourouj,particulier,270000 Km,02-2013,Très bon
165,Prix : 31 000 DT,C5 HDI Diesel Toute Options 1er Main*,6 CV,Diesel,Manuelle,22 Fèvr. 2021,Les Berges Du Lac,particulier,168000 Km,09-2009,Excellent
